"trial_type","trial_index","time_elapsed","internal_node_id","run_id","condition","recorded_at","source_code_version","ip","user_agent","device","browser","browser_version","platform","platform_version","fbclid","age","rt","response","question_order","stimulus","task","trial_duration"
"html-keyboard-response","0","20219","0.0-0.0","14","1","2023-05-15 16:36:19","35a371bf4d1b89eb9efa423149907f28","177.192.220.102","Mozilla/5.0 (iPhone; CPU iPhone OS 16_3_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 Instagram 282.0.0.17.114 (iPhone11,8; iOS 16_3_1; pt_BR; pt-BR; scale=2.00; 828x1792; 472241688)","iPhone","Mozilla","","iOS","16_3_1","PAAaab8KN3GRz26UvSS9_UsbslVAaUSpMAdArgRwnTlBbKjDtAlJD-geBawcU","NaN","","","","","",""
"survey-text","1","26729","0.0-1.0","14","1","2023-05-15 16:36:19","35a371bf4d1b89eb9efa423149907f28","177.192.220.102","Mozilla/5.0 (iPhone; CPU iPhone OS 16_3_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 Instagram 282.0.0.17.114 (iPhone11,8; iOS 16_3_1; pt_BR; pt-BR; scale=2.00; 828x1792; 472241688)","iPhone","Mozilla","","iOS","16_3_1","PAAaab8KN3GRz26UvSS9_UsbslVAaUSpMAdArgRwnTlBbKjDtAlJD-geBawcU","NaN","6495","{""age"":""22""}","","","",""
"survey-multi-select","2","116537","0.0-2.0","14","1","2023-05-15 16:36:19","35a371bf4d1b89eb9efa423149907f28","177.192.220.102","Mozilla/5.0 (iPhone; CPU iPhone OS 16_3_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 Instagram 282.0.0.17.114 (iPhone11,8; iOS 16_3_1; pt_BR; pt-BR; scale=2.00; 828x1792; 472241688)","iPhone","Mozilla","","iOS","16_3_1","PAAaab8KN3GRz26UvSS9_UsbslVAaUSpMAdArgRwnTlBbKjDtAlJD-geBawcU","NaN","89794","{""Gender"":[""Mulher""],""Education"":[""Educação secundária (idade: 11-17)""]}","[0,1]","","",""
"html-keyboard-response","3","127391","0.0-3.0","14","1","2023-05-15 16:36:19","35a371bf4d1b89eb9efa423149907f28","177.192.220.102","Mozilla/5.0 (iPhone; CPU iPhone OS 16_3_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 Instagram 282.0.0.17.114 (iPhone11,8; iOS 16_3_1; pt_BR; pt-BR; scale=2.00; 828x1792; 472241688)","iPhone","Mozilla","","iOS","16_3_1","PAAaab8KN3GRz26UvSS9_UsbslVAaUSpMAdArgRwnTlBbKjDtAlJD-geBawcU","NaN","","","","","",""
"html-keyboard-response","4","128399","0.0-4.0-0.0","14","1","2023-05-15 16:36:19","35a371bf4d1b89eb9efa423149907f28","177.192.220.102","Mozilla/5.0 (iPhone; CPU iPhone OS 16_3_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 Instagram 282.0.0.17.114 (iPhone11,8; iOS 16_3_1; pt_BR; pt-BR; scale=2.00; 828x1792; 472241688)","iPhone","Mozilla","","iOS","16_3_1","PAAaab8KN3GRz26UvSS9_UsbslVAaUSpMAdArgRwnTlBbKjDtAlJD-geBawcU","NaN","null","null","","<div style=""font-size:60px;"">+</div>","fixation","[1000]"
"image-keyboard-response","5","138495","0.0-4.0-1.0","14","1","2023-05-15 16:36:19","35a371bf4d1b89eb9efa423149907f28","177.192.220.102","Mozilla/5.0 (iPhone; CPU iPhone OS 16_3_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 Instagram 282.0.0.17.114 (iPhone11,8; iOS 16_3_1; pt_BR; pt-BR; scale=2.00; 828x1792; 472241688)","iPhone","Mozilla","","iOS","16_3_1","PAAaab8KN3GRz26UvSS9_UsbslVAaUSpMAdArgRwnTlBbKjDtAlJD-geBawcU","NaN","null","null","","PT_Longterm_Headphones.png","",""
"survey-likert","6","230498","0.0-4.0-2.0","14","1","2023-05-15 16:36:19","35a371bf4d1b89eb9efa423149907f28","177.192.220.102","Mozilla/5.0 (iPhone; CPU iPhone OS 16_3_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 Instagram 282.0.0.17.114 (iPhone11,8; iOS 16_3_1; pt_BR; pt-BR; scale=2.00; 828x1792; 472241688)","iPhone","Mozilla","","iOS","16_3_1","PAAaab8KN3GRz26UvSS9_UsbslVAaUSpMAdArgRwnTlBbKjDtAlJD-geBawcU","NaN","91989","{""Q0"":8,""Q1"":7,""Q2"":0,""Q3"":0}","[0,1,2,3]","","",""
"html-keyboard-response","7","231508","0.0-4.0-0.1","14","1","2023-05-15 16:36:19","35a371bf4d1b89eb9efa423149907f28","177.192.220.102","Mozilla/5.0 (iPhone; CPU iPhone OS 16_3_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 Instagram 282.0.0.17.114 (iPhone11,8; iOS 16_3_1; pt_BR; pt-BR; scale=2.00; 828x1792; 472241688)","iPhone","Mozilla","","iOS","16_3_1","PAAaab8KN3GRz26UvSS9_UsbslVAaUSpMAdArgRwnTlBbKjDtAlJD-geBawcU","NaN","null","null","","<div style=""font-size:60px;"">+</div>","fixation","[1000]"
"image-keyboard-response","8","241591","0.0-4.0-1.1","14","1","2023-05-15 16:36:19","35a371bf4d1b89eb9efa423149907f28","177.192.220.102","Mozilla/5.0 (iPhone; CPU iPhone OS 16_3_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 Instagram 282.0.0.17.114 (iPhone11,8; iOS 16_3_1; pt_BR; pt-BR; scale=2.00; 828x1792; 472241688)","iPhone","Mozilla","","iOS","16_3_1","PAAaab8KN3GRz26UvSS9_UsbslVAaUSpMAdArgRwnTlBbKjDtAlJD-geBawcU","NaN","null","null","","PT_Longterm_Toothbrusch.png","",""
"survey-likert","9","269090","0.0-4.0-2.1","14","1","2023-05-15 16:36:19","35a371bf4d1b89eb9efa423149907f28","177.192.220.102","Mozilla/5.0 (iPhone; CPU iPhone OS 16_3_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 Instagram 282.0.0.17.114 (iPhone11,8; iOS 16_3_1; pt_BR; pt-BR; scale=2.00; 828x1792; 472241688)","iPhone","Mozilla","","iOS","16_3_1","PAAaab8KN3GRz26UvSS9_UsbslVAaUSpMAdArgRwnTlBbKjDtAlJD-geBawcU","NaN","27486","{""Q0"":8,""Q1"":8,""Q2"":0,""Q3"":0}","[0,1,2,3]","","",""
