"trial_type","trial_index","time_elapsed","internal_node_id","run_id","condition","recorded_at","source_code_version","ip","user_agent","device","browser","browser_version","platform","platform_version","age","rt","response","question_order","stimulus","task","trial_duration"
"html-keyboard-response","0","4335","0.0-0.0","8","1","2023-05-15 16:18:34","35a371bf4d1b89eb9efa423149907f28","88.12.159.153","Mozilla/5.0 (iPhone; CPU iPhone OS 16_4_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.4 Mobile/15E148 Safari/604.1","iPhone","Safari","16.4","iOS","16_4_1","NaN","","","","","",""
"survey-text","1","8510","0.0-1.0","8","1","2023-05-15 16:18:34","35a371bf4d1b89eb9efa423149907f28","88.12.159.153","Mozilla/5.0 (iPhone; CPU iPhone OS 16_4_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.4 Mobile/15E148 Safari/604.1","iPhone","Safari","16.4","iOS","16_4_1","NaN","4113","{""age"":""24""}","","","",""
"survey-multi-select","2","14886","0.0-2.0","8","1","2023-05-15 16:18:34","35a371bf4d1b89eb9efa423149907f28","88.12.159.153","Mozilla/5.0 (iPhone; CPU iPhone OS 16_4_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.4 Mobile/15E148 Safari/604.1","iPhone","Safari","16.4","iOS","16_4_1","NaN","6369","{""Gender"":[""Mulher""],""Education"":[""Pós-graduação""]}","[0,1]","","",""
"html-keyboard-response","3","20121","0.0-3.0","8","1","2023-05-15 16:18:34","35a371bf4d1b89eb9efa423149907f28","88.12.159.153","Mozilla/5.0 (iPhone; CPU iPhone OS 16_4_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.4 Mobile/15E148 Safari/604.1","iPhone","Safari","16.4","iOS","16_4_1","NaN","","","","","",""
"html-keyboard-response","4","21128","0.0-4.0-0.0","8","1","2023-05-15 16:18:34","35a371bf4d1b89eb9efa423149907f28","88.12.159.153","Mozilla/5.0 (iPhone; CPU iPhone OS 16_4_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.4 Mobile/15E148 Safari/604.1","iPhone","Safari","16.4","iOS","16_4_1","NaN","null","null","","<div style=""font-size:60px;"">+</div>","fixation","[1000]"
"image-keyboard-response","5","31196","0.0-4.0-1.0","8","1","2023-05-15 16:18:34","35a371bf4d1b89eb9efa423149907f28","88.12.159.153","Mozilla/5.0 (iPhone; CPU iPhone OS 16_4_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.4 Mobile/15E148 Safari/604.1","iPhone","Safari","16.4","iOS","16_4_1","NaN","null","null","","PT_Longterm_Toothbrusch.png","",""
"survey-likert","6","52048","0.0-4.0-2.0","8","1","2023-05-15 16:18:34","35a371bf4d1b89eb9efa423149907f28","88.12.159.153","Mozilla/5.0 (iPhone; CPU iPhone OS 16_4_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.4 Mobile/15E148 Safari/604.1","iPhone","Safari","16.4","iOS","16_4_1","NaN","20845","{""Q0"":7,""Q1"":7,""Q2"":0,""Q3"":2}","[0,1,2,3]","","",""
"html-keyboard-response","7","53051","0.0-4.0-0.1","8","1","2023-05-15 16:18:34","35a371bf4d1b89eb9efa423149907f28","88.12.159.153","Mozilla/5.0 (iPhone; CPU iPhone OS 16_4_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.4 Mobile/15E148 Safari/604.1","iPhone","Safari","16.4","iOS","16_4_1","NaN","null","null","","<div style=""font-size:60px;"">+</div>","fixation","[1000]"
"image-keyboard-response","8","63098","0.0-4.0-1.1","8","1","2023-05-15 16:18:34","35a371bf4d1b89eb9efa423149907f28","88.12.159.153","Mozilla/5.0 (iPhone; CPU iPhone OS 16_4_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.4 Mobile/15E148 Safari/604.1","iPhone","Safari","16.4","iOS","16_4_1","NaN","null","null","","Control_Watch.png","",""
"survey-likert","9","78450","0.0-4.0-2.1","8","1","2023-05-15 16:18:34","35a371bf4d1b89eb9efa423149907f28","88.12.159.153","Mozilla/5.0 (iPhone; CPU iPhone OS 16_4_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.4 Mobile/15E148 Safari/604.1","iPhone","Safari","16.4","iOS","16_4_1","NaN","15345","{""Q0"":7,""Q1"":8,""Q2"":0,""Q3"":7}","[0,1,2,3]","","",""
