"trial_type","trial_index","time_elapsed","internal_node_id","run_id","condition","recorded_at","source_code_version","ip","user_agent","device","browser","browser_version","platform","platform_version","fbclid","age","rt","response","question_order","stimulus","task","trial_duration"
"html-keyboard-response",0,3300,"0.0-0.0",20,1,"2023-05-16 10:53:27","1ecd9d38d4622338824de6fd67a72f4c","178.15.172.135","Mozilla/5.0 (iPhone; CPU iPhone OS 15_5 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 Instagram 282.0.0.17.114 (iPhone14,3; iOS 15_5; de_DE; de-DE; scale=3.00; 1284x2778; 472241688) NW/3","iPhone","Mozilla",NA,"iOS","15_5","PAAaYfH7J4_3RoZpySYW1La3Wlmy2gs4yyFXveZClTUBQjaLBG4wvMfStcPyY",NA,"","","","","",""
"survey-text",1,6183,"0.0-1.0",20,1,"2023-05-16 10:53:27","1ecd9d38d4622338824de6fd67a72f4c","178.15.172.135","Mozilla/5.0 (iPhone; CPU iPhone OS 15_5 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 Instagram 282.0.0.17.114 (iPhone14,3; iOS 15_5; de_DE; de-DE; scale=3.00; 1284x2778; 472241688) NW/3","iPhone","Mozilla",NA,"iOS","15_5","PAAaYfH7J4_3RoZpySYW1La3Wlmy2gs4yyFXveZClTUBQjaLBG4wvMfStcPyY",27,"2872","{""age"":""27""}","","","",""
"survey-multi-select",2,22908,"0.0-2.0",20,1,"2023-05-16 10:53:27","1ecd9d38d4622338824de6fd67a72f4c","178.15.172.135","Mozilla/5.0 (iPhone; CPU iPhone OS 15_5 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 Instagram 282.0.0.17.114 (iPhone14,3; iOS 15_5; de_DE; de-DE; scale=3.00; 1284x2778; 472241688) NW/3","iPhone","Mozilla",NA,"iOS","15_5","PAAaYfH7J4_3RoZpySYW1La3Wlmy2gs4yyFXveZClTUBQjaLBG4wvMfStcPyY",NA,"16717","{""Gender"":[""Frau""],""Education"":[""Hochschulabschluss/berufliches Äquivalent""]}","[0,1]","","",""
"html-keyboard-response",3,31598,"0.0-3.0",20,1,"2023-05-16 10:53:27","1ecd9d38d4622338824de6fd67a72f4c","178.15.172.135","Mozilla/5.0 (iPhone; CPU iPhone OS 15_5 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 Instagram 282.0.0.17.114 (iPhone14,3; iOS 15_5; de_DE; de-DE; scale=3.00; 1284x2778; 472241688) NW/3","iPhone","Mozilla",NA,"iOS","15_5","PAAaYfH7J4_3RoZpySYW1La3Wlmy2gs4yyFXveZClTUBQjaLBG4wvMfStcPyY",NA,"","","","","",""
"html-keyboard-response",4,32604,"0.0-4.0-0.0",20,1,"2023-05-16 10:53:27","1ecd9d38d4622338824de6fd67a72f4c","178.15.172.135","Mozilla/5.0 (iPhone; CPU iPhone OS 15_5 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 Instagram 282.0.0.17.114 (iPhone14,3; iOS 15_5; de_DE; de-DE; scale=3.00; 1284x2778; 472241688) NW/3","iPhone","Mozilla",NA,"iOS","15_5","PAAaYfH7J4_3RoZpySYW1La3Wlmy2gs4yyFXveZClTUBQjaLBG4wvMfStcPyY",NA,"null","null","","<div style=""font-size:60px;"">+</div>","fixation","[1000]"
"image-keyboard-response",5,40676,"0.0-4.0-1.0",20,1,"2023-05-16 10:53:27","1ecd9d38d4622338824de6fd67a72f4c","178.15.172.135","Mozilla/5.0 (iPhone; CPU iPhone OS 15_5 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 Instagram 282.0.0.17.114 (iPhone14,3; iOS 15_5; de_DE; de-DE; scale=3.00; 1284x2778; 472241688) NW/3","iPhone","Mozilla",NA,"iOS","15_5","PAAaYfH7J4_3RoZpySYW1La3Wlmy2gs4yyFXveZClTUBQjaLBG4wvMfStcPyY",NA,"null","null","","DE_Shortterm_Headphones.png","",""
"survey-likert",6,57949,"0.0-4.0-2.0",20,1,"2023-05-16 10:53:27","1ecd9d38d4622338824de6fd67a72f4c","178.15.172.135","Mozilla/5.0 (iPhone; CPU iPhone OS 15_5 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 Instagram 282.0.0.17.114 (iPhone14,3; iOS 15_5; de_DE; de-DE; scale=3.00; 1284x2778; 472241688) NW/3","iPhone","Mozilla",NA,"iOS","15_5","PAAaYfH7J4_3RoZpySYW1La3Wlmy2gs4yyFXveZClTUBQjaLBG4wvMfStcPyY",NA,"17263","{""Q0"":6,""Q1"":1,""Q2"":0,""Q3"":0}","[0,1,2,3]","","",""
"html-keyboard-response",7,58955,"0.0-4.0-0.1",20,1,"2023-05-16 10:53:27","1ecd9d38d4622338824de6fd67a72f4c","178.15.172.135","Mozilla/5.0 (iPhone; CPU iPhone OS 15_5 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 Instagram 282.0.0.17.114 (iPhone14,3; iOS 15_5; de_DE; de-DE; scale=3.00; 1284x2778; 472241688) NW/3","iPhone","Mozilla",NA,"iOS","15_5","PAAaYfH7J4_3RoZpySYW1La3Wlmy2gs4yyFXveZClTUBQjaLBG4wvMfStcPyY",NA,"null","null","","<div style=""font-size:60px;"">+</div>","fixation","[1000]"
"image-keyboard-response",8,67023,"0.0-4.0-1.1",20,1,"2023-05-16 10:53:27","1ecd9d38d4622338824de6fd67a72f4c","178.15.172.135","Mozilla/5.0 (iPhone; CPU iPhone OS 15_5 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 Instagram 282.0.0.17.114 (iPhone14,3; iOS 15_5; de_DE; de-DE; scale=3.00; 1284x2778; 472241688) NW/3","iPhone","Mozilla",NA,"iOS","15_5","PAAaYfH7J4_3RoZpySYW1La3Wlmy2gs4yyFXveZClTUBQjaLBG4wvMfStcPyY",NA,"null","null","","Control_Toothbrush.png","",""
"survey-likert",9,78057,"0.0-4.0-2.1",20,1,"2023-05-16 10:53:27","1ecd9d38d4622338824de6fd67a72f4c","178.15.172.135","Mozilla/5.0 (iPhone; CPU iPhone OS 15_5 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 Instagram 282.0.0.17.114 (iPhone14,3; iOS 15_5; de_DE; de-DE; scale=3.00; 1284x2778; 472241688) NW/3","iPhone","Mozilla",NA,"iOS","15_5","PAAaYfH7J4_3RoZpySYW1La3Wlmy2gs4yyFXveZClTUBQjaLBG4wvMfStcPyY",NA,"11025","{""Q0"":8,""Q1"":0,""Q2"":0,""Q3"":0}","[0,1,2,3]","","",""
