"trial_type","trial_index","time_elapsed","internal_node_id","run_id","condition","recorded_at","source_code_version","ip","user_agent","device","browser","browser_version","platform","platform_version","subject_id","study_id","session_id","age","rt","response","question_order","stimulus","task","trial_duration"
"html-keyboard-response",0,5750,"0.0-0.0",48,1,"2023-06-01 16:58:33","4d0c160ebb1ce460ebd4771f52f78daa","95.114.117.45","Mozilla/5.0 (iPhone; CPU iPhone OS 16_5 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.5 Mobile/15E148 Safari/604.1","iPhone","Safari",16.5,"iOS","16_5",NA,NA,NA,NA,"","","","","",""
"survey-text",1,11068,"0.0-1.0",48,1,"2023-06-01 16:58:33","4d0c160ebb1ce460ebd4771f52f78daa","95.114.117.45","Mozilla/5.0 (iPhone; CPU iPhone OS 16_5 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.5 Mobile/15E148 Safari/604.1","iPhone","Safari",16.5,"iOS","16_5",NA,NA,NA,16,"5277","{""age"":""16""}","","","",""
"survey-multi-select",2,21959,"0.0-2.0",48,1,"2023-06-01 16:58:33","4d0c160ebb1ce460ebd4771f52f78daa","95.114.117.45","Mozilla/5.0 (iPhone; CPU iPhone OS 16_5 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.5 Mobile/15E148 Safari/604.1","iPhone","Safari",16.5,"iOS","16_5",NA,NA,NA,NA,"10882","{""Gender"":[""Ich möchte lieber nicht sagen""],""Education"":[""Ich möchte lieber nicht sagen""]}","[0,1]","","",""
"html-keyboard-response",3,32066,"0.0-3.0",48,1,"2023-06-01 16:58:33","4d0c160ebb1ce460ebd4771f52f78daa","95.114.117.45","Mozilla/5.0 (iPhone; CPU iPhone OS 16_5 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.5 Mobile/15E148 Safari/604.1","iPhone","Safari",16.5,"iOS","16_5",NA,NA,NA,NA,"","","","","",""
"html-keyboard-response",4,33071,"0.0-4.0-0.0",48,1,"2023-06-01 16:58:33","4d0c160ebb1ce460ebd4771f52f78daa","95.114.117.45","Mozilla/5.0 (iPhone; CPU iPhone OS 16_5 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.5 Mobile/15E148 Safari/604.1","iPhone","Safari",16.5,"iOS","16_5",NA,NA,NA,NA,"null","null","","<div style=""font-size:60px;"">+</div>","fixation","[1000]"
"image-keyboard-response",5,41134,"0.0-4.0-1.0",48,1,"2023-06-01 16:58:33","4d0c160ebb1ce460ebd4771f52f78daa","95.114.117.45","Mozilla/5.0 (iPhone; CPU iPhone OS 16_5 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.5 Mobile/15E148 Safari/604.1","iPhone","Safari",16.5,"iOS","16_5",NA,NA,NA,NA,"null","null","","DE_LongTerm_Toothbrush.png","",""
"survey-likert",6,52614,"0.0-4.0-2.0",48,1,"2023-06-01 16:58:33","4d0c160ebb1ce460ebd4771f52f78daa","95.114.117.45","Mozilla/5.0 (iPhone; CPU iPhone OS 16_5 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.5 Mobile/15E148 Safari/604.1","iPhone","Safari",16.5,"iOS","16_5",NA,NA,NA,NA,"11472","{""Q0"":0,""Q1"":0,""Q2"":0,""Q3"":0}","[0,1,2,3]","","",""
"html-keyboard-response",7,53625,"0.0-4.0-0.1",48,1,"2023-06-01 16:58:33","4d0c160ebb1ce460ebd4771f52f78daa","95.114.117.45","Mozilla/5.0 (iPhone; CPU iPhone OS 16_5 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.5 Mobile/15E148 Safari/604.1","iPhone","Safari",16.5,"iOS","16_5",NA,NA,NA,NA,"null","null","","<div style=""font-size:60px;"">+</div>","fixation","[1000]"
"image-keyboard-response",8,61691,"0.0-4.0-1.1",48,1,"2023-06-01 16:58:33","4d0c160ebb1ce460ebd4771f52f78daa","95.114.117.45","Mozilla/5.0 (iPhone; CPU iPhone OS 16_5 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.5 Mobile/15E148 Safari/604.1","iPhone","Safari",16.5,"iOS","16_5",NA,NA,NA,NA,"null","null","","DE_Shortterm_Toothbrush.png","",""
"survey-likert",9,84857,"0.0-4.0-2.1",48,1,"2023-06-01 16:58:33","4d0c160ebb1ce460ebd4771f52f78daa","95.114.117.45","Mozilla/5.0 (iPhone; CPU iPhone OS 16_5 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.5 Mobile/15E148 Safari/604.1","iPhone","Safari",16.5,"iOS","16_5",NA,NA,NA,NA,"23162","{""Q0"":0,""Q1"":0,""Q2"":8,""Q3"":0}","[0,1,2,3]","","",""
"html-keyboard-response",10,85868,"0.0-4.0-0.2",48,1,"2023-06-01 16:58:33","4d0c160ebb1ce460ebd4771f52f78daa","95.114.117.45","Mozilla/5.0 (iPhone; CPU iPhone OS 16_5 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.5 Mobile/15E148 Safari/604.1","iPhone","Safari",16.5,"iOS","16_5",NA,NA,NA,NA,"null","null","","<div style=""font-size:60px;"">+</div>","fixation","[1000]"
"image-keyboard-response",11,93934,"0.0-4.0-1.2",48,1,"2023-06-01 16:58:33","4d0c160ebb1ce460ebd4771f52f78daa","95.114.117.45","Mozilla/5.0 (iPhone; CPU iPhone OS 16_5 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.5 Mobile/15E148 Safari/604.1","iPhone","Safari",16.5,"iOS","16_5",NA,NA,NA,NA,"null","null","","Control_Toothbrush.png","",""
"survey-likert",12,107539,"0.0-4.0-2.2",48,1,"2023-06-01 16:58:33","4d0c160ebb1ce460ebd4771f52f78daa","95.114.117.45","Mozilla/5.0 (iPhone; CPU iPhone OS 16_5 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.5 Mobile/15E148 Safari/604.1","iPhone","Safari",16.5,"iOS","16_5",NA,NA,NA,NA,"13600","{""Q0"":0,""Q1"":0,""Q2"":8,""Q3"":0}","[0,1,2,3]","","",""
"html-keyboard-response",13,108548,"0.0-4.0-0.3",48,1,"2023-06-01 16:58:33","4d0c160ebb1ce460ebd4771f52f78daa","95.114.117.45","Mozilla/5.0 (iPhone; CPU iPhone OS 16_5 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.5 Mobile/15E148 Safari/604.1","iPhone","Safari",16.5,"iOS","16_5",NA,NA,NA,NA,"null","null","","<div style=""font-size:60px;"">+</div>","fixation","[1000]"
"image-keyboard-response",14,116598,"0.0-4.0-1.3",48,1,"2023-06-01 16:58:33","4d0c160ebb1ce460ebd4771f52f78daa","95.114.117.45","Mozilla/5.0 (iPhone; CPU iPhone OS 16_5 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.5 Mobile/15E148 Safari/604.1","iPhone","Safari",16.5,"iOS","16_5",NA,NA,NA,NA,"null","null","","DE_Longterm_Watch.png","",""
"survey-likert",15,126263,"0.0-4.0-2.3",48,1,"2023-06-01 16:58:33","4d0c160ebb1ce460ebd4771f52f78daa","95.114.117.45","Mozilla/5.0 (iPhone; CPU iPhone OS 16_5 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.5 Mobile/15E148 Safari/604.1","iPhone","Safari",16.5,"iOS","16_5",NA,NA,NA,NA,"9660","{""Q0"":0,""Q1"":0,""Q2"":8,""Q3"":0}","[0,1,2,3]","","",""
"html-keyboard-response",16,127273,"0.0-4.0-0.4",48,1,"2023-06-01 16:58:33","4d0c160ebb1ce460ebd4771f52f78daa","95.114.117.45","Mozilla/5.0 (iPhone; CPU iPhone OS 16_5 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.5 Mobile/15E148 Safari/604.1","iPhone","Safari",16.5,"iOS","16_5",NA,NA,NA,NA,"null","null","","<div style=""font-size:60px;"">+</div>","fixation","[1000]"
"image-keyboard-response",17,135338,"0.0-4.0-1.4",48,1,"2023-06-01 16:58:33","4d0c160ebb1ce460ebd4771f52f78daa","95.114.117.45","Mozilla/5.0 (iPhone; CPU iPhone OS 16_5 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.5 Mobile/15E148 Safari/604.1","iPhone","Safari",16.5,"iOS","16_5",NA,NA,NA,NA,"null","null","","DE_Shortterm_Headphones.png","",""
"survey-likert",18,144912,"0.0-4.0-2.4",48,1,"2023-06-01 16:58:33","4d0c160ebb1ce460ebd4771f52f78daa","95.114.117.45","Mozilla/5.0 (iPhone; CPU iPhone OS 16_5 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.5 Mobile/15E148 Safari/604.1","iPhone","Safari",16.5,"iOS","16_5",NA,NA,NA,NA,"9568","{""Q0"":0,""Q1"":0,""Q2"":8,""Q3"":0}","[0,1,2,3]","","",""
"html-keyboard-response",19,145923,"0.0-4.0-0.5",48,1,"2023-06-01 16:58:33","4d0c160ebb1ce460ebd4771f52f78daa","95.114.117.45","Mozilla/5.0 (iPhone; CPU iPhone OS 16_5 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.5 Mobile/15E148 Safari/604.1","iPhone","Safari",16.5,"iOS","16_5",NA,NA,NA,NA,"null","null","","<div style=""font-size:60px;"">+</div>","fixation","[1000]"
"image-keyboard-response",20,153988,"0.0-4.0-1.5",48,1,"2023-06-01 16:58:33","4d0c160ebb1ce460ebd4771f52f78daa","95.114.117.45","Mozilla/5.0 (iPhone; CPU iPhone OS 16_5 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.5 Mobile/15E148 Safari/604.1","iPhone","Safari",16.5,"iOS","16_5",NA,NA,NA,NA,"null","null","","DE_Longterm_Headphones.png","",""
"survey-likert",21,164044,"0.0-4.0-2.5",48,1,"2023-06-01 16:58:33","4d0c160ebb1ce460ebd4771f52f78daa","95.114.117.45","Mozilla/5.0 (iPhone; CPU iPhone OS 16_5 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.5 Mobile/15E148 Safari/604.1","iPhone","Safari",16.5,"iOS","16_5",NA,NA,NA,NA,"10052","{""Q0"":0,""Q1"":0,""Q2"":8,""Q3"":0}","[0,1,2,3]","","",""
"html-keyboard-response",22,165055,"0.0-4.0-0.6",48,1,"2023-06-01 16:58:33","4d0c160ebb1ce460ebd4771f52f78daa","95.114.117.45","Mozilla/5.0 (iPhone; CPU iPhone OS 16_5 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.5 Mobile/15E148 Safari/604.1","iPhone","Safari",16.5,"iOS","16_5",NA,NA,NA,NA,"null","null","","<div style=""font-size:60px;"">+</div>","fixation","[1000]"
"image-keyboard-response",23,173103,"0.0-4.0-1.6",48,1,"2023-06-01 16:58:33","4d0c160ebb1ce460ebd4771f52f78daa","95.114.117.45","Mozilla/5.0 (iPhone; CPU iPhone OS 16_5 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.5 Mobile/15E148 Safari/604.1","iPhone","Safari",16.5,"iOS","16_5",NA,NA,NA,NA,"null","null","","DE_Shortterm_watch.png","",""
"survey-likert",24,183469,"0.0-4.0-2.6",48,1,"2023-06-01 16:58:33","4d0c160ebb1ce460ebd4771f52f78daa","95.114.117.45","Mozilla/5.0 (iPhone; CPU iPhone OS 16_5 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.5 Mobile/15E148 Safari/604.1","iPhone","Safari",16.5,"iOS","16_5",NA,NA,NA,NA,"10361","{""Q0"":0,""Q1"":0,""Q2"":8,""Q3"":0}","[0,1,2,3]","","",""
"html-keyboard-response",25,184479,"0.0-4.0-0.7",48,1,"2023-06-01 16:58:33","4d0c160ebb1ce460ebd4771f52f78daa","95.114.117.45","Mozilla/5.0 (iPhone; CPU iPhone OS 16_5 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.5 Mobile/15E148 Safari/604.1","iPhone","Safari",16.5,"iOS","16_5",NA,NA,NA,NA,"null","null","","<div style=""font-size:60px;"">+</div>","fixation","[1000]"
"image-keyboard-response",26,192529,"0.0-4.0-1.7",48,1,"2023-06-01 16:58:33","4d0c160ebb1ce460ebd4771f52f78daa","95.114.117.45","Mozilla/5.0 (iPhone; CPU iPhone OS 16_5 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.5 Mobile/15E148 Safari/604.1","iPhone","Safari",16.5,"iOS","16_5",NA,NA,NA,NA,"null","null","","Control_Watch.png","",""
"survey-likert",27,203568,"0.0-4.0-2.7",48,1,"2023-06-01 16:58:33","4d0c160ebb1ce460ebd4771f52f78daa","95.114.117.45","Mozilla/5.0 (iPhone; CPU iPhone OS 16_5 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.5 Mobile/15E148 Safari/604.1","iPhone","Safari",16.5,"iOS","16_5",NA,NA,NA,NA,"11033","{""Q0"":0,""Q1"":0,""Q2"":8,""Q3"":0}","[0,1,2,3]","","",""
"html-keyboard-response",28,204579,"0.0-4.0-0.8",48,1,"2023-06-01 16:58:33","4d0c160ebb1ce460ebd4771f52f78daa","95.114.117.45","Mozilla/5.0 (iPhone; CPU iPhone OS 16_5 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.5 Mobile/15E148 Safari/604.1","iPhone","Safari",16.5,"iOS","16_5",NA,NA,NA,NA,"null","null","","<div style=""font-size:60px;"">+</div>","fixation","[1000]"
"image-keyboard-response",29,212644,"0.0-4.0-1.8",48,1,"2023-06-01 16:58:33","4d0c160ebb1ce460ebd4771f52f78daa","95.114.117.45","Mozilla/5.0 (iPhone; CPU iPhone OS 16_5 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.5 Mobile/15E148 Safari/604.1","iPhone","Safari",16.5,"iOS","16_5",NA,NA,NA,NA,"null","null","","Control_Headphones.png","",""
