"trial_type","trial_index","time_elapsed","internal_node_id","run_id","condition","recorded_at","source_code_version","ip","user_agent","device","browser","browser_version","platform","platform_version","age","rt","response","question_order","stimulus","task","trial_duration"
"html-keyboard-response",0,1630,"0.0-0.0",80,1,"2023-05-28 21:12:35","1ecd9d38d4622338824de6fd67a72f4c","106.72.54.128","Mozilla/5.0 (iPhone; CPU iPhone OS 16_4_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.4 Mobile/15E148 Safari/604.1","iPhone","Safari",16.4,"iOS","16_4_1",NA,"","","","","",""
"survey-text",1,4270,"0.0-1.0",80,1,"2023-05-28 21:12:35","1ecd9d38d4622338824de6fd67a72f4c","106.72.54.128","Mozilla/5.0 (iPhone; CPU iPhone OS 16_4_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.4 Mobile/15E148 Safari/604.1","iPhone","Safari",16.4,"iOS","16_4_1",22,"2599","{""age"":""22""}","","","",""
"survey-multi-select",2,10334,"0.0-2.0",80,1,"2023-05-28 21:12:35","1ecd9d38d4622338824de6fd67a72f4c","106.72.54.128","Mozilla/5.0 (iPhone; CPU iPhone OS 16_4_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.4 Mobile/15E148 Safari/604.1","iPhone","Safari",16.4,"iOS","16_4_1",NA,"6060","{""Gender"":[""Frau""],""Education"":["" Sekundarstufe (Alter: 11-17 Jahre)""]}","[0,1]","","",""
"html-keyboard-response",3,12784,"0.0-3.0",80,1,"2023-05-28 21:12:35","1ecd9d38d4622338824de6fd67a72f4c","106.72.54.128","Mozilla/5.0 (iPhone; CPU iPhone OS 16_4_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.4 Mobile/15E148 Safari/604.1","iPhone","Safari",16.4,"iOS","16_4_1",NA,"","","","","",""
"html-keyboard-response",4,13789,"0.0-4.0-0.0",80,1,"2023-05-28 21:12:35","1ecd9d38d4622338824de6fd67a72f4c","106.72.54.128","Mozilla/5.0 (iPhone; CPU iPhone OS 16_4_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.4 Mobile/15E148 Safari/604.1","iPhone","Safari",16.4,"iOS","16_4_1",NA,"null","null","","<div style=""font-size:60px;"">+</div>","fixation","[1000]"
"image-keyboard-response",5,21847,"0.0-4.0-1.0",80,1,"2023-05-28 21:12:35","1ecd9d38d4622338824de6fd67a72f4c","106.72.54.128","Mozilla/5.0 (iPhone; CPU iPhone OS 16_4_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.4 Mobile/15E148 Safari/604.1","iPhone","Safari",16.4,"iOS","16_4_1",NA,"null","null","","Control_Toothbrush.png","",""
"survey-likert",6,30347,"0.0-4.0-2.0",80,1,"2023-05-28 21:12:35","1ecd9d38d4622338824de6fd67a72f4c","106.72.54.128","Mozilla/5.0 (iPhone; CPU iPhone OS 16_4_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.4 Mobile/15E148 Safari/604.1","iPhone","Safari",16.4,"iOS","16_4_1",NA,"8494","{""Q0"":4,""Q1"":4,""Q2"":4,""Q3"":4}","[0,1,2,3]","","",""
"html-keyboard-response",7,31351,"0.0-4.0-0.1",80,1,"2023-05-28 21:12:35","1ecd9d38d4622338824de6fd67a72f4c","106.72.54.128","Mozilla/5.0 (iPhone; CPU iPhone OS 16_4_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.4 Mobile/15E148 Safari/604.1","iPhone","Safari",16.4,"iOS","16_4_1",NA,"null","null","","<div style=""font-size:60px;"">+</div>","fixation","[1000]"
"image-keyboard-response",8,39414,"0.0-4.0-1.1",80,1,"2023-05-28 21:12:35","1ecd9d38d4622338824de6fd67a72f4c","106.72.54.128","Mozilla/5.0 (iPhone; CPU iPhone OS 16_4_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.4 Mobile/15E148 Safari/604.1","iPhone","Safari",16.4,"iOS","16_4_1",NA,"null","null","","DE_Shortterm_Headphones.png","",""
"survey-likert",9,55429,"0.0-4.0-2.1",80,1,"2023-05-28 21:12:35","1ecd9d38d4622338824de6fd67a72f4c","106.72.54.128","Mozilla/5.0 (iPhone; CPU iPhone OS 16_4_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.4 Mobile/15E148 Safari/604.1","iPhone","Safari",16.4,"iOS","16_4_1",NA,"16011","{""Q0"":6,""Q1"":6,""Q2"":2,""Q3"":5}","[0,1,2,3]","","",""
