"trial_type","trial_index","time_elapsed","internal_node_id","run_id","condition","recorded_at","source_code_version","ip","user_agent","device","browser","browser_version","platform","platform_version","PROLIFIC_PID","STUDY_ID","SESSION_ID","subject_id","study_id","session_id","age","rt","response","question_order","stimulus","task","trial_duration"
"html-keyboard-response",0,3314,"0.0-0.0",94,1,"2023-05-29 17:31:22","4d0c160ebb1ce460ebd4771f52f78daa","93.135.57.30","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36","WebKit","Chrome","113.0.0.0","Windows",10,"642c41b865c583716e924c7a","6474b527d384e573fd99a35a","6474e1688c8174e4682f817f","642c41b865c583716e924c7a","6474b527d384e573fd99a35a","6474e1688c8174e4682f817f",NA,"","","","","",""
"survey-text",1,5291,"0.0-1.0",94,1,"2023-05-29 17:31:22","4d0c160ebb1ce460ebd4771f52f78daa","93.135.57.30","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36","WebKit","Chrome","113.0.0.0","Windows",10,"642c41b865c583716e924c7a","6474b527d384e573fd99a35a","6474e1688c8174e4682f817f","642c41b865c583716e924c7a","6474b527d384e573fd99a35a","6474e1688c8174e4682f817f",22,"1962","{""age"":""22""}","","","",""
"survey-multi-select",2,11629,"0.0-2.0",94,1,"2023-05-29 17:31:22","4d0c160ebb1ce460ebd4771f52f78daa","93.135.57.30","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36","WebKit","Chrome","113.0.0.0","Windows",10,"642c41b865c583716e924c7a","6474b527d384e573fd99a35a","6474e1688c8174e4682f817f","642c41b865c583716e924c7a","6474b527d384e573fd99a35a","6474e1688c8174e4682f817f",NA,"6332","{""Gender"":[""Mann""],""Education"":[""Hochschulabschluss/berufliches Äquivalent""]}","[0,1]","","",""
"html-keyboard-response",3,12900,"0.0-3.0",94,1,"2023-05-29 17:31:22","4d0c160ebb1ce460ebd4771f52f78daa","93.135.57.30","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36","WebKit","Chrome","113.0.0.0","Windows",10,"642c41b865c583716e924c7a","6474b527d384e573fd99a35a","6474e1688c8174e4682f817f","642c41b865c583716e924c7a","6474b527d384e573fd99a35a","6474e1688c8174e4682f817f",NA,"","","","","",""
"html-keyboard-response",4,13916,"0.0-4.0-0.0",94,1,"2023-05-29 17:31:22","4d0c160ebb1ce460ebd4771f52f78daa","93.135.57.30","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36","WebKit","Chrome","113.0.0.0","Windows",10,"642c41b865c583716e924c7a","6474b527d384e573fd99a35a","6474e1688c8174e4682f817f","642c41b865c583716e924c7a","6474b527d384e573fd99a35a","6474e1688c8174e4682f817f",NA,"null","null","","<div style=""font-size:60px;"">+</div>","fixation","[1000]"
"image-keyboard-response",5,21926,"0.0-4.0-1.0",94,1,"2023-05-29 17:31:22","4d0c160ebb1ce460ebd4771f52f78daa","93.135.57.30","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36","WebKit","Chrome","113.0.0.0","Windows",10,"642c41b865c583716e924c7a","6474b527d384e573fd99a35a","6474e1688c8174e4682f817f","642c41b865c583716e924c7a","6474b527d384e573fd99a35a","6474e1688c8174e4682f817f",NA,"null","null","","Control_Watch.png","",""
"survey-likert",6,38876,"0.0-4.0-2.0",94,1,"2023-05-29 17:31:22","4d0c160ebb1ce460ebd4771f52f78daa","93.135.57.30","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36","WebKit","Chrome","113.0.0.0","Windows",10,"642c41b865c583716e924c7a","6474b527d384e573fd99a35a","6474e1688c8174e4682f817f","642c41b865c583716e924c7a","6474b527d384e573fd99a35a","6474e1688c8174e4682f817f",NA,"16942","{""Q0"":7,""Q1"":6,""Q2"":1,""Q3"":5}","[0,1,2,3]","","",""
"html-keyboard-response",7,39881,"0.0-4.0-0.1",94,1,"2023-05-29 17:31:22","4d0c160ebb1ce460ebd4771f52f78daa","93.135.57.30","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36","WebKit","Chrome","113.0.0.0","Windows",10,"642c41b865c583716e924c7a","6474b527d384e573fd99a35a","6474e1688c8174e4682f817f","642c41b865c583716e924c7a","6474b527d384e573fd99a35a","6474e1688c8174e4682f817f",NA,"null","null","","<div style=""font-size:60px;"">+</div>","fixation","[1000]"
"image-keyboard-response",8,47900,"0.0-4.0-1.1",94,1,"2023-05-29 17:31:22","4d0c160ebb1ce460ebd4771f52f78daa","93.135.57.30","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36","WebKit","Chrome","113.0.0.0","Windows",10,"642c41b865c583716e924c7a","6474b527d384e573fd99a35a","6474e1688c8174e4682f817f","642c41b865c583716e924c7a","6474b527d384e573fd99a35a","6474e1688c8174e4682f817f",NA,"null","null","","DE_Longterm_Watch.png","",""
"survey-likert",9,64763,"0.0-4.0-2.1",94,1,"2023-05-29 17:31:22","4d0c160ebb1ce460ebd4771f52f78daa","93.135.57.30","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36","WebKit","Chrome","113.0.0.0","Windows",10,"642c41b865c583716e924c7a","6474b527d384e573fd99a35a","6474e1688c8174e4682f817f","642c41b865c583716e924c7a","6474b527d384e573fd99a35a","6474e1688c8174e4682f817f",NA,"16850","{""Q0"":7,""Q1"":6,""Q2"":2,""Q3"":6}","[0,1,2,3]","","",""
"html-keyboard-response",10,65774,"0.0-4.0-0.2",94,1,"2023-05-29 17:31:22","4d0c160ebb1ce460ebd4771f52f78daa","93.135.57.30","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36","WebKit","Chrome","113.0.0.0","Windows",10,"642c41b865c583716e924c7a","6474b527d384e573fd99a35a","6474e1688c8174e4682f817f","642c41b865c583716e924c7a","6474b527d384e573fd99a35a","6474e1688c8174e4682f817f",NA,"null","null","","<div style=""font-size:60px;"">+</div>","fixation","[1000]"
"image-keyboard-response",11,73788,"0.0-4.0-1.2",94,1,"2023-05-29 17:31:22","4d0c160ebb1ce460ebd4771f52f78daa","93.135.57.30","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36","WebKit","Chrome","113.0.0.0","Windows",10,"642c41b865c583716e924c7a","6474b527d384e573fd99a35a","6474e1688c8174e4682f817f","642c41b865c583716e924c7a","6474b527d384e573fd99a35a","6474e1688c8174e4682f817f",NA,"null","null","","DE_Shortterm_Toothbrush.png","",""
"survey-likert",12,86203,"0.0-4.0-2.2",94,1,"2023-05-29 17:31:22","4d0c160ebb1ce460ebd4771f52f78daa","93.135.57.30","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36","WebKit","Chrome","113.0.0.0","Windows",10,"642c41b865c583716e924c7a","6474b527d384e573fd99a35a","6474e1688c8174e4682f817f","642c41b865c583716e924c7a","6474b527d384e573fd99a35a","6474e1688c8174e4682f817f",NA,"12412","{""Q0"":6,""Q1"":3,""Q2"":5,""Q3"":2}","[0,1,2,3]","","",""
"html-keyboard-response",13,87209,"0.0-4.0-0.3",94,1,"2023-05-29 17:31:22","4d0c160ebb1ce460ebd4771f52f78daa","93.135.57.30","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36","WebKit","Chrome","113.0.0.0","Windows",10,"642c41b865c583716e924c7a","6474b527d384e573fd99a35a","6474e1688c8174e4682f817f","642c41b865c583716e924c7a","6474b527d384e573fd99a35a","6474e1688c8174e4682f817f",NA,"null","null","","<div style=""font-size:60px;"">+</div>","fixation","[1000]"
"image-keyboard-response",14,95228,"0.0-4.0-1.3",94,1,"2023-05-29 17:31:22","4d0c160ebb1ce460ebd4771f52f78daa","93.135.57.30","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36","WebKit","Chrome","113.0.0.0","Windows",10,"642c41b865c583716e924c7a","6474b527d384e573fd99a35a","6474e1688c8174e4682f817f","642c41b865c583716e924c7a","6474b527d384e573fd99a35a","6474e1688c8174e4682f817f",NA,"null","null","","DE_LongTerm_Toothbrush.png","",""
"survey-likert",15,106481,"0.0-4.0-2.3",94,1,"2023-05-29 17:31:22","4d0c160ebb1ce460ebd4771f52f78daa","93.135.57.30","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36","WebKit","Chrome","113.0.0.0","Windows",10,"642c41b865c583716e924c7a","6474b527d384e573fd99a35a","6474e1688c8174e4682f817f","642c41b865c583716e924c7a","6474b527d384e573fd99a35a","6474e1688c8174e4682f817f",NA,"11247","{""Q0"":7,""Q1"":5,""Q2"":1,""Q3"":4}","[0,1,2,3]","","",""
"html-keyboard-response",16,107491,"0.0-4.0-0.4",94,1,"2023-05-29 17:31:22","4d0c160ebb1ce460ebd4771f52f78daa","93.135.57.30","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36","WebKit","Chrome","113.0.0.0","Windows",10,"642c41b865c583716e924c7a","6474b527d384e573fd99a35a","6474e1688c8174e4682f817f","642c41b865c583716e924c7a","6474b527d384e573fd99a35a","6474e1688c8174e4682f817f",NA,"null","null","","<div style=""font-size:60px;"">+</div>","fixation","[1000]"
"image-keyboard-response",17,115503,"0.0-4.0-1.4",94,1,"2023-05-29 17:31:22","4d0c160ebb1ce460ebd4771f52f78daa","93.135.57.30","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36","WebKit","Chrome","113.0.0.0","Windows",10,"642c41b865c583716e924c7a","6474b527d384e573fd99a35a","6474e1688c8174e4682f817f","642c41b865c583716e924c7a","6474b527d384e573fd99a35a","6474e1688c8174e4682f817f",NA,"null","null","","DE_Shortterm_Headphones.png","",""
"survey-likert",18,123910,"0.0-4.0-2.4",94,1,"2023-05-29 17:31:22","4d0c160ebb1ce460ebd4771f52f78daa","93.135.57.30","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36","WebKit","Chrome","113.0.0.0","Windows",10,"642c41b865c583716e924c7a","6474b527d384e573fd99a35a","6474e1688c8174e4682f817f","642c41b865c583716e924c7a","6474b527d384e573fd99a35a","6474e1688c8174e4682f817f",NA,"8403","{""Q0"":7,""Q1"":6,""Q2"":2,""Q3"":5}","[0,1,2,3]","","",""
"html-keyboard-response",19,124932,"0.0-4.0-0.5",94,1,"2023-05-29 17:31:22","4d0c160ebb1ce460ebd4771f52f78daa","93.135.57.30","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36","WebKit","Chrome","113.0.0.0","Windows",10,"642c41b865c583716e924c7a","6474b527d384e573fd99a35a","6474e1688c8174e4682f817f","642c41b865c583716e924c7a","6474b527d384e573fd99a35a","6474e1688c8174e4682f817f",NA,"null","null","","<div style=""font-size:60px;"">+</div>","fixation","[1000]"
"image-keyboard-response",20,132938,"0.0-4.0-1.5",94,1,"2023-05-29 17:31:22","4d0c160ebb1ce460ebd4771f52f78daa","93.135.57.30","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36","WebKit","Chrome","113.0.0.0","Windows",10,"642c41b865c583716e924c7a","6474b527d384e573fd99a35a","6474e1688c8174e4682f817f","642c41b865c583716e924c7a","6474b527d384e573fd99a35a","6474e1688c8174e4682f817f",NA,"null","null","","DE_Shortterm_watch.png","",""
"survey-likert",21,144746,"0.0-4.0-2.5",94,1,"2023-05-29 17:31:22","4d0c160ebb1ce460ebd4771f52f78daa","93.135.57.30","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36","WebKit","Chrome","113.0.0.0","Windows",10,"642c41b865c583716e924c7a","6474b527d384e573fd99a35a","6474e1688c8174e4682f817f","642c41b865c583716e924c7a","6474b527d384e573fd99a35a","6474e1688c8174e4682f817f",NA,"11802","{""Q0"":7,""Q1"":5,""Q2"":3,""Q3"":6}","[0,1,2,3]","","",""
"html-keyboard-response",22,145755,"0.0-4.0-0.6",94,1,"2023-05-29 17:31:22","4d0c160ebb1ce460ebd4771f52f78daa","93.135.57.30","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36","WebKit","Chrome","113.0.0.0","Windows",10,"642c41b865c583716e924c7a","6474b527d384e573fd99a35a","6474e1688c8174e4682f817f","642c41b865c583716e924c7a","6474b527d384e573fd99a35a","6474e1688c8174e4682f817f",NA,"null","null","","<div style=""font-size:60px;"">+</div>","fixation","[1000]"
"image-keyboard-response",23,153759,"0.0-4.0-1.6",94,1,"2023-05-29 17:31:22","4d0c160ebb1ce460ebd4771f52f78daa","93.135.57.30","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36","WebKit","Chrome","113.0.0.0","Windows",10,"642c41b865c583716e924c7a","6474b527d384e573fd99a35a","6474e1688c8174e4682f817f","642c41b865c583716e924c7a","6474b527d384e573fd99a35a","6474e1688c8174e4682f817f",NA,"null","null","","DE_Longterm_Headphones.png","",""
"survey-likert",24,160037,"0.0-4.0-2.6",94,1,"2023-05-29 17:31:22","4d0c160ebb1ce460ebd4771f52f78daa","93.135.57.30","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36","WebKit","Chrome","113.0.0.0","Windows",10,"642c41b865c583716e924c7a","6474b527d384e573fd99a35a","6474e1688c8174e4682f817f","642c41b865c583716e924c7a","6474b527d384e573fd99a35a","6474e1688c8174e4682f817f",NA,"6275","{""Q0"":7,""Q1"":5,""Q2"":2,""Q3"":7}","[0,1,2,3]","","",""
"html-keyboard-response",25,161053,"0.0-4.0-0.7",94,1,"2023-05-29 17:31:22","4d0c160ebb1ce460ebd4771f52f78daa","93.135.57.30","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36","WebKit","Chrome","113.0.0.0","Windows",10,"642c41b865c583716e924c7a","6474b527d384e573fd99a35a","6474e1688c8174e4682f817f","642c41b865c583716e924c7a","6474b527d384e573fd99a35a","6474e1688c8174e4682f817f",NA,"null","null","","<div style=""font-size:60px;"">+</div>","fixation","[1000]"
"image-keyboard-response",26,169058,"0.0-4.0-1.7",94,1,"2023-05-29 17:31:22","4d0c160ebb1ce460ebd4771f52f78daa","93.135.57.30","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36","WebKit","Chrome","113.0.0.0","Windows",10,"642c41b865c583716e924c7a","6474b527d384e573fd99a35a","6474e1688c8174e4682f817f","642c41b865c583716e924c7a","6474b527d384e573fd99a35a","6474e1688c8174e4682f817f",NA,"null","null","","Control_Headphones.png","",""
